i.lloyd,spp,species,latin,Lloyd.N,type,Fig,ord.in.txt.,best.mod,B.yr,B.site,B.yrXsite,p.yr,R2,B.yr.drop.97,p.yr.drop.97
1,SSHA,Sharp-shinned Hawk,Accipiter striatus,12,neoQ,,,,,,,,,,
2,WFQD,White-fronted Quail-Dove,Geotrygon leucometopia,7,endem,,,,,,,,,,
3,HIPK,Hispaniolan Parakeet,Psittacara chloropterus,1,endem,,,,,,,,,,
4,HIEM,Hispaniolan Emerald,Chlorostilbon swainsonii,47,endem,,,,,,,,,,
5,NBTO,Narrow-billed Tody,Todus angustirostris,140,endem,none,6,null.or.site,0.02,,,0.3,,,
6,HIWO,Hispaniolan Woodpecker,Melanerpes striatus,22,endem,,,,,,,,,,
7,HITR,Hispaniolan Trogon,Priotelus roseigaster,10,endem,,,,,,,,,,
8,HIPE,Hispaniolan Pewee,Contopus hispaniolensis,43,endem,,,,,,,,,,
9,GAEL,Greater Antillean Elaenia,Elaenia fallax,29,,,,,,,,,,,
10,RTSO,Rufous-throated Solitaire,Myadestes genibarbis,126,,Fig1,1,add,-0.04,,,0.04,0.3,,
11,BITH,Bicknell’s Thrush,Catharus bicknelli,149,neo,none,9,null.or.site,-0.003,,,0.87,,,
12,LATH,La Selle Thrush,Turdus swalesi,22,,,,,,,,,,,
13,RLTH,Red-legged Thrush,Turdus plumbeus,31,,,,,,,,,,,
14,GRCA,Gray Catbird,Dumetella carolinensis,1,neoQ,,,,,,,,,,
15,OVEN,Ovenbird,Seiurus aurocapilla,162,neo,none,10,null.or.site,0.004,,,0.78,,,
16,WEWA,Worm-eating Warbler,Helmitheros vermivorum,4,neo,,,,,,,,,,
17,BAWW,Black-and-white Warbler,Mniotilta varia,28,neo,,,,,,,,,,
18,SWWA,Swainson’s Warbler,Limnothlypis swainsonii,7,neo,,,,,,,,,,
19,KEWA,Kentucky Warbler,Geothlypis formosa,1,neo,,,,,,,,,,
20,COYE,Common Yellowthroat,Geothlypis trichas,2,neo,,,,,,,,,,
21,AMRE,American Redstart,Setophaga ruticilla,3,neo,,,,,,,,,,
22,BTBW,Black-throated Blue Warbler,Setophaga caerulescens,83,neo,none,11,null.or.site,0.013,,,0.633,,,
23,PIWA,Pine Warbler,Setophaga pinus,1,neo,,,,,,,,,,
24,HHTA,Hispaniolan Highland-Tanager,Xenoligea montana,69,endem,Fig4,4,mult,-0.23,-418.8,0.21,<0.001,0.38,-0.05,0.12
25,GTGT,Green-tailed Ground-Tanager,Microligea palustris,245,endem,Fig2,2,add,-0.07,,,<0.001,0.76,,
26,BANA,Banaquit,Coereba flaveola,4,,,,,,,,,,,
27,BCPT,Black-crowned Palm-Tanager,Phaenicophilus palmarum,77,endem,none,7,null.or.site,-0.028,,,0.3,,,
28,WCHT,Western Chat-Tanager,Calyptophilus tertius,72,endem,Fig5,5,mult,-0.1,-245.1,0.122,0.008,0.3,,>0.05
29,HISP,Hispaniolan Spindalis,Spindalis dominicensis,85,endem,none,8,null.or.site,0.009,,,0.72,,,
30,BFGR,Black-faced Grassquit,Tiaris bicolor,28,,,,,,,,,,,
31,GABU,Greater Antillean Bullfinch,Loxigilla violacea,86,,Fig3,3,add,-0.05,,,0.02,0.47,,
