"","Species","tot.97.to.10"
"1","AMRE",3
"2","ANMA",1
"3","BANA",7
"4","BAWW",35
"5","BCPT",108
"6","BFGR",31
"7","BITH",255
"8","BTBW",117
"9","COYE",3
"10","GABU",168
"11","GAEL",45
"12","GRCA",1
"13","GTGT",467
"14","HHTA",122
"15","HIEM",86
"16","HILC",1
"17","HIPE",67
"18","HIPK",1
"19","HISP",129
"20","HITR",10
"21","HIWO",29
"22","KEWA",2
"23","LATH",30
"24","MYWA",10
"25","NBTO",246
"26","OVEN",297
"27","PIWA",1
"28","RHQD",0
"29","RLTH",47
"30","RNPI",2
"31","RTSO",189
"32","SSHA",14
"33","SWWA",13
"34","WCHT",139
"35","WEWA",8
"36","WFQD",11
