"","Species","spp.total"
"1","AMRE",3
"2","BANA",4
"3","BAWW",28
"4","BCPT",77
"5","BFGR",28
"6","BITH",129
"7","BTBW",81
"8","COYE",2
"9","GABU",82
"10","GAEL",28
"11","GRCA",1
"12","GTGT",219
"13","HHTA",62
"14","HIEM",49
"15","HIPE",37
"16","HIPK",1
"17","HISP",83
"18","HITR",10
"19","HIWO",22
"20","KEWA",1
"21","LATH",21
"22","MYWA",10
"23","NBTO",131
"24","OVEN",159
"25","PIWA",1
"26","RLTH",28
"27","RNPI",2
"28","RTSO",126
"29","SSHA",12
"30","SWWA",5
"31","WCHT",66
"32","WEWA",3
"33","WFQD",7
